id,date,revenue
981,2019-09-10,2110.01
982,2019-09-11,
983,2019-09-12,497514.55
984,2019-09-13,291200.37
985,2019-09-14,
986,2019-09-15,
987,2019-09-16,
988,2019-09-17,19200.04
989,2019-09-18,65930.82
990,2019-09-19,6251
991,2019-09-20,
992,2019-09-21,
993,2019-09-22,250585.35
994,2019-09-23,118580.08
995,2019-09-24,9029.89
996,2019-09-25,41712.76
997,2019-09-26,54372.12
998,2019-09-27,
999,2019-09-28,
1000,2019-09-29,260018.85
1001,2019-09-30,107033.56
1002,2019-10-01,536998.35
1003,2019-10-02,8847.45
1004,2019-10-03,292278.61
1005,2019-10-04,
1006,2019-10-05,
1007,2019-10-06,167989.85
1008,2019-10-07,
1009,2019-10-08,
1010,2019-10-09,27394.89
1011,2019-10-10,34070.04
1012,2019-10-11,
1013,2019-10-12,
1014,2019-10-13,
1015,2019-10-14,195188.41
1016,2019-10-15,
1017,2019-10-16,
1018,2019-10-17,23850.75
1019,2019-10-18,
1020,2019-10-19,
1021,2019-10-20,89242.67
1022,2019-10-21,285372.03
1023,2019-10-22,
1024,2019-10-23,
1025,2019-10-24,20557.96
1026,2019-10-25,378.85
1027,2019-10-26,
1028,2019-10-27,
1029,2019-10-28,67399.46
1030,2019-10-29,52881.05
1031,2019-10-30,48667.13
1032,2019-10-31,84746.7
1033,2019-11-01,
1034,2019-11-02,
1035,2019-11-03,339039.56
1036,2019-11-04,215261.68
1037,2019-11-05,12520.54
1038,2019-11-06,48337.68
1039,2019-11-07,123924.36
1040,2019-11-08,
1041,2019-11-09,
1042,2019-11-10,
1043,2019-11-11,171310.8
1044,2019-11-12,18905.66
1045,2019-11-13,4416.93
1046,2019-11-14,79324
1047,2019-11-15,
1048,2019-11-16,
1049,2019-11-17,131260.01
1050,2019-11-18,
1051,2019-11-19,54792.98
1052,2019-11-20,110493.03
1053,2019-11-21,61817.39
1054,2019-11-22,
1055,2019-11-23,
1056,2019-11-24,54805.37
1057,2019-11-25,3306.07
1058,2019-11-26,43425
1059,2019-11-27,
1060,2019-11-28,
1061,2019-11-29,
1062,2019-11-30,
1063,2019-12-01,
1064,2019-12-02,83903.5
1065,2019-12-03,
1066,2019-12-04,382358.81
1067,2019-12-05,20075
1068,2019-12-06,
1069,2019-12-07,
1070,2019-12-08,148172.64
1071,2019-12-09,10048.11
1072,2019-12-10,108753.49
1073,2019-12-11,72453.95
1074,2019-12-12,28322.14
1075,2019-12-13,
1076,2019-12-14,
1077,2019-12-15,76776.29
1078,2019-12-16,358291.73
1079,2019-12-17,264989.73
